label,score,system_verdict,title_a,title_b,starts_a,starts_b,venue_a,venue_b,source_a,source_b,fingerprint_a,fingerprint_b
,0.44,distinct,Nina Chuba,Schachverein Hörsching – wöchentliches Treffen (Erwachsene),2026-07-10T19:00:00+02:00,2026-07-10T19:00:00+02:00,,,eventfinder.at Linz,ASKÖ Schachverein Hörsching,nina chuba|2026-07-10|,schachverein hoersching woechentliches treffen erwachsene|2026-07-10|
,0.44,distinct,Grossstadtgeflüster - Jubiläumstour – Eskapismus & Rave,SK St. Magdalena vs SU St. Martin/Mühlkreis,2026-07-17T19:00:00+02:00,2026-07-17T19:00:00+02:00,,,eventfinder.at Linz,SK St. Magdalena,grossstadtgefluester jubilaeumstour eskapismus rave|2026-07-17|,sk st magdalena vs su st martin muehlkreis|2026-07-17|
,0.44,distinct,Pretty Woman - Romantisches Musical-Erlebnis,SK St. Magdalena vs Blaue Elf Linz,2026-07-14T19:30:00+02:00,2026-07-14T19:00:00+02:00,,,eventfinder.at Linz,SK St. Magdalena,pretty woman romantisches musical erlebnis|2026-07-14|,sk st magdalena vs blaue elf linz|2026-07-14|
,0.439,distinct,Kraxl Mittwoch,Wochentagsmesse,2026-07-08T00:00:00+02:00,2026-07-08T08:00:00+02:00,boulderbar Linz,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",Boulderbar Linz,Pfarre Linz Christkönig,kraxl mittwoch|2026-07-08|,wochentagsmesse|2026-07-08|
,0.439,distinct,Private Yogastunden,Stillrunde,2026-07-07T00:00:00+02:00,2026-07-07T09:30:00+02:00,"Yogainstitut Klammstraße 7 (Innenhof), 4020 Linz",Eltern-Kind-Zentrum der Stadt Linz Ebelsberg-Ennsfeld,"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",linztermine.at (open data XML),private yogastunden|2026-07-07|,stillrunde|2026-07-07|
,0.438,distinct,Jungschar-Stunde,Polterrunde – Polter-Laube reservieren,2026-07-07T17:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Linzer Alm,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Linzer Alm,jungschar stunde|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.438,distinct,Freitagsausfahrt,Wochentagsmesse,2026-07-10T00:00:00+02:00,2026-07-10T08:00:00+02:00,ASKÖ Kajakverein Donau Linz,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",ASKÖ Kajakverein Donau Linz,Pfarre Linz Christkönig,freitagsausfahrt|2026-07-10|,wochentagsmesse|2026-07-10|
,0.438,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,Wortgottesfeier mit Caritas-Haussammlung,2026-07-11T00:00:00+02:00,2026-07-11T19:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrkirche Linz-St. Theresia,linztermine.at (open data XML),Pfarre Linz-St. Theresia (Diözese Linz),sommerbespielung schaufenster kreisgefluester|2026-07-11|,wortgottesfeier caritas haussammlung|2026-07-11|
,0.438,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,Wortgottesfeier mit Caritas-Haussammlung,2026-07-12T00:00:00+02:00,2026-07-12T10:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrkirche Linz-St. Theresia,linztermine.at (open data XML),Pfarre Linz-St. Theresia (Diözese Linz),sommerbespielung schaufenster kreisgefluester|2026-07-12|,wortgottesfeier caritas haussammlung|2026-07-12|
,0.437,distinct,Grafische Schätze aus der Sammlung Kastner,Sepp Auer: Linie · Fläche · Raum,2026-07-10T00:00:00+02:00,2026-07-10T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),grafische schaetze aus sammlung kastner|2026-07-10|9661:1900,sepp auer linie flaeche raum|2026-07-10|
,0.436,distinct,Carlos Motta: Pleas of Resistance,Mittagspause auf dem Domplatz (Speiswagen der Caritas),2026-07-08T10:00:00+02:00,2026-07-08T00:00:00+02:00,OK Linz,Domplatz,linztermine.at (open data XML),Mariendom Linz,carlos motta pleas resistance|2026-07-08|,mittagspause domplatz speiswagen caritas|2026-07-08|
,0.436,distinct,Peter Fellner: Glumpert,Polterrunde – Polter-Laube reservieren,2026-07-07T10:00:00+02:00,2026-07-07T00:00:00+02:00,OK Linz,Linzer Alm,linztermine.at (open data XML),Linzer Alm,peter fellner glumpert|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.436,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,Workshop: Acrodance für Kinder und Jugendliche ab 8 Jahren,2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,workshop acrodance kinder jugendliche ab jahren|2026-07-07|
,0.436,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Schlossmuseum Dauerausstellungen,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,schlossmuseum dauerausstellungen|2026-07-09|
,0.436,distinct,Ferienspiel der Stadtbibliothek 2026,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-13T00:00:00+02:00,2026-07-13T00:00:00+02:00,Alle Standorte der Stadtbibliothek Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Stadtbibliothek Linz,linztermine.at (open data XML),ferienspiel stadtbibliothek|2026-07-13|9658:1901,sommerbespielung schaufenster kreisgefluester|2026-07-13|
,0.435,distinct,Kraxl Mittwoch,Mittagspause auf dem Domplatz (Speiswagen der Caritas),2026-07-08T00:00:00+02:00,2026-07-08T00:00:00+02:00,boulderbar Linz,Domplatz,Boulderbar Linz,Mariendom Linz,kraxl mittwoch|2026-07-08|,mittagspause domplatz speiswagen caritas|2026-07-08|
,0.435,distinct,Advanced Training Standard und Latein,Dienstags-Kajaktraining (Bewegt im Park),2026-07-07T19:00:00+02:00,2026-07-07T17:30:00+02:00,Sportunion Tanzsportklub Linz,"ASKÖ Kajakverein Donau Linz, Heilhamerweg 2, 4040 Linz",linztermine.at (open data XML),ASKÖ Kajakverein Donau Linz,advanced training standard latein|2026-07-07|,dienstags kajaktraining bewegt park|2026-07-07|
,0.435,distinct,Gottesdienst (Eucharistiefeier),Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-12T09:00:00+02:00,2026-07-12T00:00:00+02:00,Pfarrkirche Linz-St. Magdalena,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarre Urfahr - St. Magdalena (Diözese Linz),linztermine.at (open data XML),gottesdienst eucharistiefeier|2026-07-12|,sommerbespielung schaufenster kreisgefluester|2026-07-12|
,0.435,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,Workshop: HipHop & StreetDance für Kinder und Jugendliche ab 8 Jahren,2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,workshop hiphop streetdance kinder jugendliche ab jahren|2026-07-07|
,0.435,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Grafische Schätze aus der Sammlung Kastner,2026-07-09T00:00:00+02:00,2026-07-09T19:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,grafische schaetze aus sammlung kastner|2026-07-09|
,0.434,distinct,Mittagspause auf dem Domplatz (Speiswagen der Caritas),Wochentagsmesse,2026-07-08T00:00:00+02:00,2026-07-08T08:00:00+02:00,Domplatz,"Urfahr-Christkönig - Wochentagskirche Urfahr-Christkönig, Linz",Mariendom Linz,Pfarre Linz Christkönig,mittagspause domplatz speiswagen caritas|2026-07-08|,wochentagsmesse|2026-07-08|
,0.434,distinct,Jungschar-Stunde,Yoga-3er-Schnupperpass,2026-07-07T17:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",jungschar stunde|2026-07-07|,yoga er schnupperpass|2026-07-07|
,0.433,distinct,Heimstunde - Mittwoch 17:30-19:00,Mittagspause auf dem Domplatz (Speiswagen der Caritas),2026-07-08T17:30:00+02:00,2026-07-08T00:00:00+02:00,Pfarre Hl. Geist,Domplatz,Pfadfinder*innengruppe Linz 12 – Urfahr (Linz 12),Mariendom Linz,heimstunde mittwoch|2026-07-08|,mittagspause domplatz speiswagen caritas|2026-07-08|
,0.433,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,SPG ASKÖ Linz Steg - Voest – Vereinsabend,2026-07-08T00:00:00+02:00,2026-07-08T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,ASKÖ – Linz / Steg,linztermine.at (open data XML),Schach OÖ Vereinsverzeichnis,sommerbespielung schaufenster kreisgefluester|2026-07-08|,spg askoe linz steg voest vereinsabend|2026-07-08|
,0.433,distinct,Jungschar-Stunde,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-07T17:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),jungschar stunde|2026-07-07|,sommerbespielung schaufenster kreisgefluester|2026-07-07|
,0.433,distinct,Fotoausstellung Beifang,Freitagsausfahrt,2026-07-10T09:00:00+02:00,2026-07-10T00:00:00+02:00,Fotogalerie OÖ im OÖ Kulturquartier,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),ASKÖ Kajakverein Donau Linz,fotoausstellung beifang|2026-07-10|,freitagsausfahrt|2026-07-10|
,0.433,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,"Jazztanz für Kinder, Jugendliche & Erwachsene ab 10 Jahre",2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,jazztanz kinder jugendliche erwachsene ab jahre|2026-07-07|
,0.433,distinct,BAUERN | SCHACH | NOVELLEN (Theater),Sepp Auer: Linie · Fläche · Raum,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),bauern schach novellen theater|2026-07-04|9661:1900,sepp auer linie flaeche raum|2026-07-04|
,0.432,distinct,Peter Fellner: Glumpert,Yoga-3er-Schnupperpass,2026-07-07T10:00:00+02:00,2026-07-07T00:00:00+02:00,OK Linz,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",peter fellner glumpert|2026-07-07|,yoga er schnupperpass|2026-07-07|
,0.432,distinct,Sommerbespielung im Schaufenster: Kreisgeflüster,Yoga-3er-Schnupperpass,2026-07-07T00:00:00+02:00,2026-07-07T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",sommerbespielung schaufenster kreisgefluester|2026-07-07|,yoga er schnupperpass|2026-07-07|
,0.432,distinct,Sommer,Yoga-5er-Block,2026-07-07T08:00:00+02:00,2026-07-07T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",sommer|2026-07-07|,yoga er block|2026-07-07|
,0.432,distinct,Freitagsausfahrt,Die Zwerge freuen sich auf den Besuch,2026-07-10T00:00:00+02:00,2026-07-10T10:00:00+02:00,ASKÖ Kajakverein Donau Linz,Linz Linien Grottenbahn,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),freitagsausfahrt|2026-07-10|,zwerge freuen sich besuch|2026-07-10|
,0.432,distinct,Rainhard Fendrich,Die Zwerge freuen sich auf den Besuch,2026-07-11T00:00:00+02:00,2026-07-11T10:00:00+02:00,Domplatz Linz,Linz Linien Grottenbahn,Klassik am Dom,linztermine.at (open data XML),rainhard fendrich|2026-07-11|,zwerge freuen sich besuch|2026-07-11|
,0.432,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,Creative Dance für Kinder von 3-5 Jahren,2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,creative dance kinder jahren|2026-07-07|
,0.432,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,Jazz/Stepptanz für Kinder ab 6 Jahren,2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,jazz stepptanz kinder ab jahren|2026-07-07|
,0.432,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,"Stepptanz für Kinder, Jugendliche & Erwachsene ab 10 Jahre",2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,stepptanz kinder jugendliche erwachsene ab jahre|2026-07-07|
,0.432,distinct,Business Starter Info,Peter Fellner: Glumpert,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Courtyard Linz,OK Linz,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,peter fellner glumpert|2026-07-04|
,0.432,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Die Oberösterreicherin. Dirndl.Kleid,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,oberoesterreicherin dirndl kleid|2026-07-09|
,0.431,distinct,Dschungelbuch: Familien-Tanztheater,Polterrunde – Polter-Laube reservieren,2026-07-07T18:00:00+02:00,2026-07-07T00:00:00+02:00,Theater Maestro Linz,Linzer Alm,linztermine.at (open data XML),Linzer Alm,dschungelbuch familien tanztheater|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.43,distinct,SPG ASKÖ Linz Steg - Voest – Vereinsabend,"Starke Pumpe, freie Bahnen – Herz Kreislauf-Erkrankungen vorbeugen",2026-07-08T00:00:00+02:00,2026-07-08T18:30:00+02:00,ASKÖ – Linz / Steg,forte Konferenzzentrum Elisabethinen Linz GmbH & Co KG,Schach OÖ Vereinsverzeichnis,linztermine.at (open data XML),spg askoe linz steg voest vereinsabend|2026-07-08|,starke pumpe freie bahnen herz kreislauf erkrankungen vorbeugen|2026-07-08|
,0.43,distinct,Eucharistiefeier,Polterrunde – Polter-Laube reservieren,2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Linzer Alm,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Linzer Alm,eucharistiefeier|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.43,distinct,Aerial Kids – Anfänger*innen: Einstieg jederzeit möglich,Modern Contemporary für Jugendliche und Erwachsene,2026-07-07T16:30:00+02:00,2026-07-07T00:00:00+02:00,Studio 3,Dance Center Jane Gardner – York Studios,linztermine.at (open data XML),DANCE CENTER Jane Gardner - YORK STUDIOS,aerial kids anfaenger innen einstieg jederzeit moeglich|2026-07-07|,modern contemporary jugendliche erwachsene|2026-07-07|
,0.429,distinct,Dienstags-Kajaktraining (Bewegt im Park),Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-07T17:30:00+02:00,2026-07-07T00:00:00+02:00,"ASKÖ Kajakverein Donau Linz, Heilhamerweg 2, 4040 Linz",Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),dienstags kajaktraining bewegt park|2026-07-07|,sommerbespielung schaufenster kreisgefluester|2026-07-07|
,0.429,distinct,Nacht der offenen Tür,Polterrunde – Polter-Laube reservieren,2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Abendgymnasium Linz,Linzer Alm,linztermine.at (open data XML),Linzer Alm,nacht offenen tuer|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.429,distinct,Freitagsausfahrt,Themenführung: Urfahr und die Urfahraner*innen,2026-07-10T00:00:00+02:00,2026-07-10T17:00:00+02:00,ASKÖ Kajakverein Donau Linz,Linz Innenstadt,ASKÖ Kajakverein Donau Linz,linztermine.at (open data XML),freitagsausfahrt|2026-07-10|,themenfuehrung urfahr urfahraner innen|2026-07-10|
,0.429,distinct,Experience Tour mit Werkstour,Wiedereröffnung der voestalpine Stahlwelt - Touren ab 13. Juli,2026-07-13T11:30:00+02:00,2026-07-13T00:00:00+02:00,voestalpine Stahlwelt,voestalpine Stahlwelt,linztermine.at (open data XML),voestalpine Stahlwelt,experience tour werkstour|2026-07-13|,wiedereroeffnung voestalpine stahlwelt touren ab juli|2026-07-13|
,0.429,distinct,Fotoausstellung Beifang,Traces of life – Young@Art Art Award 2026,2026-07-04T09:00:00+02:00,2026-07-04T00:00:00+02:00,Fotogalerie OÖ im OÖ Kulturquartier,Ursulinenhof Linz,linztermine.at (open data XML),OÖ Kulturquartier,fotoausstellung beifang|2026-07-04|,traces life young art art award|2026-07-04|9661:1900
,0.428,distinct,Dschungelbuch: Familien-Tanztheater,Private Yogastunden,2026-07-07T18:00:00+02:00,2026-07-07T00:00:00+02:00,Theater Maestro Linz,"Yogainstitut Klammstraße 7 (Innenhof), 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",dschungelbuch familien tanztheater|2026-07-07|,private yogastunden|2026-07-07|
,0.428,distinct,Dschungelbuch: Familien-Tanztheater,Yoga-3er-Schnupperpass,2026-07-07T18:00:00+02:00,2026-07-07T00:00:00+02:00,Theater Maestro Linz,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",dschungelbuch familien tanztheater|2026-07-07|,yoga er schnupperpass|2026-07-07|
,0.428,distinct,Escape Rooms bei Masters Of Escape,Polterrunde – Polter-Laube reservieren,2026-07-07T20:00:00+02:00,2026-07-07T00:00:00+02:00,Escape Room Linz: Masters Of Escape,Linzer Alm,linztermine.at (open data XML),Linzer Alm,escape rooms masters escape|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.428,distinct,OPEN SUNDAY voestalpine OPEN SPACE,Die Zwerge freuen sich auf den Besuch,2026-07-12T00:00:00+02:00,2026-07-12T10:00:00+02:00,OK Linz,Linz Linien Grottenbahn,OÖ Kulturquartier,linztermine.at (open data XML),open sunday voestalpine open space|2026-07-12|9661:1900,zwerge freuen sich besuch|2026-07-12|
,0.428,distinct,Spg. Nettingsdorf/Traun – Vereins- und Trainingsabend,Stadtspazierer,2026-07-09T00:00:00+02:00,2026-07-09T10:30:00+02:00,Rathaus Haid,Altes Rathaus,Schach OÖ Vereinsverzeichnis,linztermine.at (open data XML),spg nettingsdorf traun vereins trainingsabend|2026-07-09|,stadtspazierer|2026-07-09|
,0.428,distinct,OPEN SUNDAY voestalpine OPEN SPACE,Die Zwerge freuen sich auf den Besuch,2026-07-05T00:00:00+02:00,2026-07-05T10:00:00+02:00,OK Linz,Linz Linien Grottenbahn,OÖ Kulturquartier,linztermine.at (open data XML),open sunday voestalpine open space|2026-07-05|9661:1900,zwerge freuen sich besuch|2026-07-05|
,0.428,distinct,Erinnerungscafé Bauernkrieg 1626. Zwischen Fiktion und Geschichte,Sepp Auer: Linie · Fläche · Raum,2026-07-09T00:00:00+02:00,2026-07-09T10:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,OÖ Kulturquartier,linztermine.at (open data XML),erinnerungscafe bauernkrieg zwischen fiktion geschichte|2026-07-09|9661:1900,sepp auer linie flaeche raum|2026-07-09|
,0.428,distinct,Gerhard Haderer,Grafische Schätze aus der Sammlung Kastner,2026-07-10T10:00:00+02:00,2026-07-10T00:00:00+02:00,Schlossmuseum Linz,Schlossmuseum Linz,linztermine.at (open data XML),OÖ Kulturquartier,gerhard haderer|2026-07-10|,grafische schaetze aus sammlung kastner|2026-07-10|9661:1900
,0.427,distinct,Carlos Motta: Pleas of Resistance,Polterrunde – Polter-Laube reservieren,2026-07-07T10:00:00+02:00,2026-07-07T00:00:00+02:00,OK Linz,Linzer Alm,linztermine.at (open data XML),Linzer Alm,carlos motta pleas resistance|2026-07-07|,polterrunde polter laube reservieren|2026-07-07|
,0.427,distinct,Eucharistiefeier,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-07|,sommerbespielung schaufenster kreisgefluester|2026-07-07|
,0.427,distinct,Eucharistiefeier,Yoga-5er-Block,2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",eucharistiefeier|2026-07-07|,yoga er block|2026-07-07|
,0.427,distinct,Nacht der offenen Tür,Nouera Feelgood Club Kurse (wöchentlich),2026-07-07T19:00:00+02:00,2026-07-07T00:00:00+02:00,Abendgymnasium Linz,"Nouera Feelgood Club, Landstraße 22, 4020 Linz",linztermine.at (open data XML),Nouera Feelgood Club,nacht offenen tuer|2026-07-07|,nouera feelgood club kurse woechentlich|2026-07-07|
,0.427,distinct,Sommer,Yoga-3er-Schnupperpass,2026-07-07T08:00:00+02:00,2026-07-07T00:00:00+02:00,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,"Yogainstitut, Klammstraße 7 – Innenhof, 4020 Linz",linztermine.at (open data XML),"Downtempo Yoga Linz (Yogainstitut, Dr. Maximiliane Buchner)",sommer|2026-07-07|,yoga er schnupperpass|2026-07-07|
,0.427,distinct,Eucharistiefeier,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-10T08:30:00+02:00,2026-07-10T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-10|,sommerbespielung schaufenster kreisgefluester|2026-07-10|
,0.427,distinct,Eucharistiefeier,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-11T19:00:00+02:00,2026-07-11T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-11|,sommerbespielung schaufenster kreisgefluester|2026-07-11|
,0.427,distinct,Rainhard Fendrich,Rosenkranz,2026-07-11T00:00:00+02:00,2026-07-11T18:15:00+02:00,Domplatz Linz,Pfarrkirche Linz-St. Theresia,Klassik am Dom,Pfarre Linz-St. Theresia (Diözese Linz),rainhard fendrich|2026-07-11|,rosenkranz|2026-07-11|
,0.427,distinct,Carlos Motta: Pleas of Resistance,OPEN SUNDAY voestalpine OPEN SPACE,2026-07-12T10:00:00+02:00,2026-07-12T00:00:00+02:00,OK Linz,OK Linz,linztermine.at (open data XML),OÖ Kulturquartier,carlos motta pleas resistance|2026-07-12|,open sunday voestalpine open space|2026-07-12|9661:1900
,0.427,distinct,Eucharistiefeier,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-12T09:30:00+02:00,2026-07-12T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-12|,sommerbespielung schaufenster kreisgefluester|2026-07-12|
,0.427,distinct,Eucharistiefeier,Sommerordnung der Gottesdienste (Christkönig),2026-07-12T09:30:00+02:00,2026-07-12T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Pfarrgemeinde Urfahr-Christkönig,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),Pfarre Urfahr - St. Junia (Diözese Linz),eucharistiefeier|2026-07-12|,sommerordnung gottesdienste christkoenig|2026-07-12|
,0.427,distinct,Eucharistiefeier,Sommerbespielung im Schaufenster: Kreisgeflüster,2026-07-14T19:00:00+02:00,2026-07-14T00:00:00+02:00,Pfarrgemeinde Urfahr-Hl. Geist,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Pfarrgemeinde Urfahr - Heiliger Geist (Pfarre Urfahr),linztermine.at (open data XML),eucharistiefeier|2026-07-14|,sommerbespielung schaufenster kreisgefluester|2026-07-14|
,0.427,distinct,Business Starter Info,Markt Dornach Auhof | LINZER GENUSS MÄRKTE,2026-07-04T00:00:00+02:00,2026-07-04T06:30:00+02:00,Courtyard Linz,Pfarre Linz - Hl. Geist,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,markt dornach auhof linzer genuss maerkte|2026-07-04|
,0.427,distinct,Business Starter Info,Sommer,2026-07-04T00:00:00+02:00,2026-07-04T10:00:00+02:00,Courtyard Linz,Clubgalerie der Dr. Ernst Koref-Stiftung im OÖ Kulturquartier,Eventbrite Linz,linztermine.at (open data XML),business starter info|2026-07-04|9660:1903,sommer|2026-07-04|
